SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5
51.5158898,3.355480534,13.74100157,13.08687843,8.759245198,4.549455203,0.226443472,1.214560439,3.015815327,0.535230024
46.01189829,1.83603716,12.67067403,9.913121748,10.98595861,15.05146947,0.16140986,0.67590379,2.340442974,0.353084069
47.73386802,2.60127313,15.34447496,11.04050763,10.20265881,8.562945789,0.182190336,0.890708309,2.894802004,0.546571008
49.07163706,2.050602713,14.53785505,12.07913343,12.0791722,6.978170426,0.204040071,0.244848085,2.519894876,0.234646082
51.28103517,3.157773757,14.47733336,13.54963794,8.070987238,4.428954247,0.221952149,1.341801628,2.945910342,0.524614171
49.5835362,3.261681017,14.53293346,13.11161058,9.705246575,5.545855185,0.239389433,0.63837182,2.952469667,0.428906067
50.2398571,2.782044825,14.32804038,13.30822224,10.00720886,5.339895562,0.214003448,0.774488669,2.690329062,0.315909852
49.29592995,3.65864293,13.75770689,14.49056028,9.322988183,4.948742917,0.221735935,0.655128899,3.21517106,0.433392964
47.63112385,2.935194627,16.34599767,14.211346,9.412865529,5.151772639,0.232791298,0.657888451,2.945315988,0.475703957
49.46886143,2.626753595,14.64190407,12.76781026,10.99640954,6.282235785,0.249691406,0.359555625,2.327123908,0.279654375
50.93105708,3.301180508,13.95177817,13.84625548,8.631527017,4.411669364,0.252383831,0.948963204,3.200226976,0.524958368
52.825122,2.940361877,13.90081425,12.94501008,7.8274461,4.380125279,0.212922757,0.699603343,3.63996522,0.628629091
49.96491577,4.211984509,14.53234466,12.5464259,9.292316536,5.469591258,0.199620119,0.509031303,2.724814623,0.548955327
54.13890582,1.442902543,17.37495145,8.996938241,8.196488055,4.589231699,0.150302348,1.482983169,3.33671213,0.29058454
46.23270652,2.0977836,16.25273119,13.51225187,11.55817663,6.670137175,0.224035142,0.376786375,2.830989518,0.244401973
47.01473681,2.160052757,16.12288183,14.29034681,9.942443792,7.089933931,0.217038794,0.361731323,2.563124803,0.237709155
48.21550938,3.21237203,14.52550831,12.59754238,10.91408385,6.604317652,0.189549902,0.61853126,2.713556497,0.409028737
51.16513703,2.453603165,16.02353088,12.51152142,8.081868385,4.656838661,0.210308843,1.101617748,3.405000311,0.390573565
54.34600131,1.760691698,17.15650748,9.303904395,7.820746845,4.24818055,0.153548695,1.42288457,3.480437077,0.307097389
50.54045718,3.458774304,14.41996284,13.69198463,8.167950981,4.174730502,0.252097253,1.02855679,3.388187074,0.877298439
48.86945626,1.940226551,15.50160172,10.03209903,12.16683733,7.912486405,0.171790893,0.636636837,2.445493882,0.323371092
47.79706155,2.351513189,14.24199075,11.20481721,10.30576215,9.968371125,0.194255437,0.817917631,2.760472004,0.357838964
47.06139591,2.882345577,17.13168779,12.61621333,9.773587289,5.80528757,0.142087458,1.116401456,2.943240201,0.527753415
46.97598644,2.551378799,15.10416249,13.95730139,10.57291374,6.164131178,0.122466182,1.122606672,3.061654559,0.367398547
47.9071526,3.159833469,13.51593284,15.55090229,8.786375646,4.933417416,0.193667213,1.579916735,3.771414141,0.60138766
46.89732648,3.142233831,11.09023705,18.11708312,9.601270038,5.709418333,0.195106022,1.386279631,3.388683543,0.472361948
48.10172006,3.41465983,12.10466239,16.05457526,10.41777954,5.029977953,0.102235324,1.022353243,3.220412714,0.531623686
47.27368695,2.213585085,14.76734159,11.32519657,10.52210992,9.137355785,0.1819385,0.990554056,3.103062197,0.485169334
48.0291536,2.26092755,15.9198339,11.18080945,10.6408792,7.342828925,0.176310864,0.923039229,2.986913461,0.539303819
45.94696416,2.439135344,15.5569242,12.38943132,11.36280123,8.616295177,0.178473318,0.475928848,2.677099767,0.356946636
47.94063879,1.833409594,14.46580317,10.63639279,11.05082596,10.27515267,0.161178865,0.614494425,2.649377601,0.372726126
47.90942897,1.940225767,14.36979709,10.61824526,11.1664035,10.20639596,0.161685481,0.626531237,2.62738906,0.373897674
48.13439049,1.991627725,14.5307533,10.61046377,10.60846605,10.10039775,0.162581855,0.670650152,2.763891537,0.42677737
48.38830225,2.075528524,15.22054251,10.50809366,10.57095165,9.329704197,0.17296071,0.640972044,2.736848887,0.35609558
47.68301644,2.125737686,14.94061132,10.77946469,10.99137353,9.268619296,0.191417138,0.816041482,2.790660375,0.413058034
47.82969054,2.006840163,15.32496124,10.93886611,10.39908084,9.122000739,0.172304458,0.800708954,2.969718019,0.435828924
48.31281119,2.127107129,15.1543661,10.42741704,11.05281503,8.681446798,0.173018283,0.85491387,2.829357807,0.386746751
48.66576574,1.905101434,15.4121698,10.29895416,11.10805175,8.275599352,0.161278428,0.846711749,2.983650924,0.34271666
48.54580247,2.038298087,15.30741682,10.68823579,11.18036773,8.163282934,0.171539938,0.716431506,2.825363685,0.363261045
48.36856023,1.988029806,15.35086933,10.42593539,11.47728548,8.126328022,0.163961221,0.7788158,2.992292286,0.327922442
48.42626674,2.094491687,15.54173542,10.79691442,10.47245844,8.276783576,0.172011395,0.809465386,2.964666978,0.445205963
48.26837288,2.253265052,15.57076881,11.0313956,10.31651847,8.063253414,0.171773569,0.737615914,3.051506931,0.535529362
48.11412751,2.243456404,15.64410224,11.11305544,10.20572355,8.012344298,0.170262316,0.791219,3.174891428,0.53081781
48.69792008,2.228668531,15.22755422,10.98435691,10.53827428,7.805382095,0.181520514,0.806757839,3.005172951,0.524392596
48.56805964,2.248615066,15.48708304,10.85558021,10.35173242,7.768863764,0.182320141,0.860956219,3.119700181,0.557089318
48.02537543,2.060695669,16.17087784,10.93328176,11.03436548,7.562651594,0.162419363,0.751189554,2.893094905,0.406048408
48.4143289,2.248312233,15.64744657,10.8841622,10.39466329,7.702737876,0.171396,0.917472705,3.175867056,0.443613176
47.83625276,2.453656858,15.38563521,11.63818521,10.17664238,7.491698193,0.191063444,0.955317219,3.408974077,0.462574654
48.87679977,3.017341551,15.3967086,11.39142536,10.89136299,5.931349486,0.196333868,0.733668665,3.234342142,0.330667567
